=  Tunisia - FIFA World Cup 2022

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Aymen Mathlouthi, TUN, G, 1.82, 84, 14-09-84, Tunis, Étoile du Sahel
2, Bilel Ifa, TUN, D, 1.82, 74, 09-03-90, Aryanah, Kuwait SC
3, Montassar Talbi, TUN, D, 1.90, 74, 26-05-98, Paris, Lorient
4, Yassine Meriah, TUN, D, 1.80, 74, 02-07-93, Aryanah, Espérance
5, Nader Ghandri, TUN, D, 1.95, 90, 18-02-95, Aubervilliers, Club Africain
6, Dylan Bronn, TUN, D, 1.85, 76, 19-06-95, Cannes, Salernitana
7, Youssef Msakni, TUN, M, 1.76, 73, 28-10-90, Tunis, Al-Arabi [QAT]
8, Hannibal Mejbri, TUN, M, 1.84, 70, 21-01-03, Ivry-sur-Seine, Birmingham C (On Loan)
9, Issam Jebali, TUN, F, 1.86, 84, 25-12-91, Majaz al Bab, Odense
10, Wahbi Khazri, TUN, M, 1.82, 76, 08-02-91, Ajaccio, Montpellier
11, Taha Yassine Khenissi, TUN, F, 1.80, 77, 06-01-92, Zarzis, Kuwait SC
12, Ali Maâloul, TUN, D, 1.74, 78, 01-01-90, Sfax, Al-Ahly [EGY]
13, Ferjani Sassi, TUN, M, 1.77, 75, 18-03-92, Ariana, Al-Duhail
14, Aïssa Laïdouni, TUN, M, 1.83, 75, 13-12-96, Montfermeil, Ferencváros
15, Mohamed Ali Ben Romdhane, TUN, M, 1.86, 80, 06-09-99, Tunis, Espérance
16, Aymen Dahmen, TUN, G, 1.88, 79, 28-01-97, Sfax, CS Sfaxien
17, Ellyes Skhiri, TUN, M, 1.85, 69, 10-05-95, Lunel, Köln
18, Ghailene Chaalali, TUN, M, 1.79, 62, 28-02-94, La Manouba, Espérance
19, Seifeddine Jaziri, TUN, F, 1.80, 73, 12-02-93, Tunis, Zamalek
20, Mohamed Dräger, TUN, D, 1.80, 74, 25-06-96, Freiburg im Breisgau, Luzern (On Loan)
21, Wajdi Kechrida, TUN, D, 1.84, 74, 05-11-95, Nice, Atromitos
22, Bechir Ben Saïd, TUN, G, 1.92, 88, 29-11-94, Gabès, US Monastir
23, Naïm Sliti, TUN, M, 1.72, 75, 27-07-92, Marseille, Al-Ettifaq
24, Ali Abdi, TUN, D, 1.83, 73, 20-12-93, Sfax, Caen
25, Anis Slimane, TUN, M, 1.88, 80, 16-03-01, Copenhagen, Brøndby
26, Mouez Hassen, TUN, G, 1.84, 70, 05-03-95, Fréjus, Club Africain
