=  Nigeria - World Cup 2002

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Ike Shorunmu, G, 6'01", 13 03, 16-10-67, Lagos, Luzern
2, Joseph Yobo, M, 6'02'', 11 00, 06-09-80, Kano, Marseille
3, Celestine Babayaro, D, 5'09", 10 12, 29-08-78, Kaduna, Chelsea
4, Nwankwo Kanu, F, 6'05", 13 00, 01-08-76, Owerri, Arsenal
5, Isaac Okoronkwo, D, 6'00", 11 09, 01-05-78, Abia, Shakhtar Donetsk
6, Taribo West, D, 6'01", 12 08, 26-03-74, Port Harcourt, Kaiserslautern
7, Pius Ikedia, F, 6'01", 09 06, 11-07-80, Lagos, Ajax
8, Mutiu Adepoju, M, 5'11", 12 00, 22-12-70, Ibadan, Salamanca
9, Bartholomew Ogbeche, F, 5'09", 12 03, 01-10-84, Ogoja, Paris St-Germain
10, Jay Jay Okocha, M, 5'08'', 11 00, 14-08-73, Enugu, Paris St-Germain
11, Garba Lawal, M, 6'03", 12 13, 22-05-74, Kaduna, Roda JC
12, Austin Ejide, G, 6'03", 14 02, 08-04-84, Onitsha, Gabros International
13, Rabiu Afolabi, D, 6'01", 11 11, 18-04-80, Osobo, Standard Liège
14, Ifeanyi Udeze, D, 6'00", 11 11, 21-07-80, Lagos, PAOK
15, Christopher Justice, M, 5'11", 11 07, 24-12-81, , Royal Antwerp
16, Efetobar Sodje, D, 6'01", 12 00, 05-10-72, Greenwich, Crewe Alex
17, Julius Aghahowa, F, 5'10", 11 07, 12-02-82, Benin City, Shakhtar Donetsk
18, Benedict Akwuegbu, F, 6'03", 12 06, 03-11-74, Lagos, Shenyang Haishi
19, Eric Ejiofor, D, 5'11", 12 04, 21-07-79, , Maccabi Haifa
20, James Obiorah, M, 5'10", 11 05, 24-08-78, Lagos, Lokomotiv Moscow
21, John Utaka, F, 5'10", 12 12, 08-01-82, Legugnu, Al Saad
22, Vincent Enyeama, G, 5'11", 12 08, 29-08-82, , Enyimba
23, Femi Opabunmi, F, 5'07", 10 10, 03-03-85, Lagos, 3SC Ibadan
